fips,state,abbr
01,alabama,al
02,alaska,ak
04,arizona,az
05,arkansas,ar
06,california,ca
08,colorado,co
09,connecticut,ct
10,delaware,de
11,district_of_columbia,dc
12,florida,fl
13,georgia,ga
15,hawaii,hi
16,idaho,id
17,illinois,il
18,indiana,in
19,iowa,ia
20,kansas,ks
21,kentucky,ky
22,louisiana,la
23,maine,me
24,maryland,md
25,massachusetts,ma
26,michigan,mi
27,minnesota,mn
28,mississippi,ms
29,missouri,mo
30,montana,mt
31,nebraska,ne
32,nevada,nv
33,new_hampshire,nh
34,new_jersey,nj
35,new_mexico,nm
36,new_york,ny
37,north_carolina,nc
38,north_dakota,nd
39,ohio,oh
40,oklahoma,ok
41,oregon,or
42,pennsylvania,pa
44,rhode_island,ri
45,south_carolina,sc
46,south_dakota,sd
47,tennessee,tn
48,texas,tx
49,utah,ut
50,vermont,vt
51,virginia,va
53,washington,wa
54,west_virginia,wv
55,wisconsin,wi
56,wyoming,wy
